真是花中瑞|本朝名始闻|江南一梦后|天下遇清芬
曾入江南梦|故宜名瑞香|何人好谈论|雅目误更张
猿狖号枯木|鱼龙泣夜潭|行人已天北|思妇隔江南
新裁明月扇|粟金光泚泚|上图江南山|下图江南水
金塘澹淡浮|垂柳参差碧|千里江南春|移来君几席
春树留残叶|晴峰带宿岚|滁阳山水秀|人道似江南
明月在江南|夜夜看逾好|今夜照两人|各自伤怀抱
不问江南北|江风任往还|杯中是何物|青峭皖公山
空庭清昼永|花落见春莫|谁念未归人|草色江南路
忆踏江南雪|看梅领好春|酒醒燕月白|惆怅未归人
昨夜宿江南|今朝过江北|愁听子规声|欲归归未得
南国留棠阴|江城遗白叟|君思用赵人|犹忆江南否
东南万里江|绿净一杯酒|王孙江南去|更得消息否
水面青蒲短|船头白鹭闲|江南万里意|好在绿杨湾
茫茫大河水|一叶向江南|不遇姜公子|何人借布帆
天远正难穷|楼高不堪倚|醉梦入江南|杨花数千里
出郭江南望|暮天云北飞|断蓬寒更转|长路几人归
烟雨催寒食|江南又暮春|可怜三月草|看尽六朝人
鸿雁何时来|肃肃楚天晓|悲鸣向江南|江北稻粱少
江南二三月|花柳映山青|送君江北去|草绿到长亭
烟柳绿毵毵|桃红着雨酣|春风迟步屐|幽意满江南
罗绮照青山|烟花正婀娜|从此入江南|不须沉铁锁
厌见雪如麻|不见梅放花|江北是客路|江南是客家
一尺江南信|聊凭健翼飞|吾儿如问我|衰病要儿归
旧日江南路|霜裘晓树间|无香供晏坐|有梦到秋山
尽日行荒径|全家出瘴岚|鲍娘诗句好|今夜宿江南
留滞江南久|今来万里归|春风稍和暖|作意入云飞
江南千里心|极北一回首|感兹水上萍|忍负杯中酒
昨夜梦魂中|故人忽相聚|今朝看画图|江南一枝雨
瓮菜抽青玉|葱根结水晶|此物江南有|沙场种不成
霜落洞庭渚|江南九月秋|稍违关塞远|适足稻梁谋
江南山尽处|两山如石门|溪流湍激雪|残日雨犹存
江南仲夏天|时雨下如川|卢橘垂金弹|甘蕉吐白莲
江南季秋天|栗熟大如拳|枫叶红霞举|苍芦白浪川
独立西风里|萧然自不堪|是谁增客思|呼作望江南
打拢渔家船|更锁东门渡|只从城下泊|不放江南去
郎向塞北游|妾在江南住|愿为防身剑|与郎作伴去
奔流去不息|离愁方未央|江南望江北|烟里见垂杨
惭老将谁托|劳生每自惭|何当重携手|风雨满江南
江南莲叶舟|江北莲花屿|尽日双鸳鸯|无人自来去
江南有美人|别后长相忆|何以慰相思|赠汝好颜色
魂清萼绿华|望绝江南使|天寒倚竹时|风标略相似
的皪林间白|风霜莫浪催|江南春不雪|似是一枝梅
夕阳数峰远|霭霭江南思|烟外有钟声|山僧独归寺
溪驿旧名彡|烟光满翠岚|须知今夜好|宿处是江南
若问寒梅意|香分庾岭多|江南无限雪|清润见阳和
万玉碧毵毵|烟深雨气涵|鹧鸪啼日暮|客思满江南
修竹江南好|平居有所思|清怜霜后树|繁爱雨中枝
昔岁城中过|曾遇江南叟|身老意萧闲|宁知今在否
人日江南好|风光梅柳新|谁将故园日|乞取去年人
玉貌飒风沙|何人不忆家|江南春未到|马上听琵琶
江南正月半|犹自有梅花|踏雪去何处|青溪道士家
日望江南路|秋风吹苎衣|钱唐君欲渡|应与雁同飞
江南红豆树|一叶一相思|红豆尚可尽|相思无已时
不见江南客|愿听江南钟|倾耳度遥夜|天寒多北风
林秋红树出|溪晓白云多|此景江南有|江南今若何
初迷武陵路|复出孟尝门|回首江南岸|青山与旧恩
一自骑鲸去|青山几度春|江南好风月|都属后来人
江南舟轧鸦|江北马连翩|经春不能赏|谁云不关天
江南一何秀|寄语北人道|翡翠戏兰苕|奈此颜色好
狗子佛性无|老蚌吐明珠|西川鸣杜宇|江南啼鹧鸪
朝为江南亲|暮与江南敌|江水本无情|人心自矶激
江南开最蚤|犹及仲春时|此地先飞雪|多情却愿迟
炎海少秋霜|叶红因客泪|因风片片飞|飞向江南坠
沙上问归帆|日美北风起|遥看一片云|飞度江南水
沙上望行人|日暮愁心绝|江南四时春|边地五月雪
月姊封银界|龙君幻玉壶|江南三尺雪|人道十年无
柳色绿堪把|桃华红未齐|君归江南去|芳草正萋萋
猫头争立玉|黄雀剩披绵|橘子生犹绿|江南十月天
扁舟暮归去|别路江南树|愁指楚山遥|明朝望君处
且攀隋宫柳|莫忆江南春|师有怀乡志|未为无事人
春色将归去|江南草正新|南风亦何意|偏脑欲归人
后雁来何暮|春风万里情|江南多燕子|无处觅同声
云连回雁嶂|潮落钓鱼矶|共说江南好|青山待客归
灵踪古迹盖江南|中馆居中日可探|云洞斜封埋壁地|石峰高插积金庵
五月西山积雪阴|荷花荷叶玉湖深|君行采寄吴郎去|一片江南塞北心
当初只欲转头衔|转得头衔转不堪|何似仁王高阁上|倚栏闲唱望江南
儿女欢喜罗酒浆|夜深笑语火炉傍|如何去岁听风雪|身在江南梦故乡
金沟河上始通流|海子桥边系客舟|却到江南春水涨|拍天波浪泛轻鸥
少居河北老江南|风月随身到处参|最是芳洲晴景好|泥融沙煖水光涵
屏风围坐鬓毵毵|绛蜡摇光照莫酣|京国多年情尽改|忽听春雨忆江南
挺挺新枝冒雪开|江南此种冠花魁|天公有意怜幽独|特遣阳和到早梅
上帝白云居九关|列仙亭馆号萧闲|念君未作骖鸾侣|愁杀江南庾子山
梧桐疏叶间微黄|年例江南未肯凉|菊自此花三两月|樽前日日是重阳
一枝欲寄陇头思|春早江南雁到迟|月黑小楼清夜永|紫箫吹断玉参差
梅花集里识真梅|曾读梅花偈子来|四海交游君倒指|江南只有贺方回
春到江南觉独先|蓂开三叶景初妍|阳和散作人间乐|社酒新丰美十千
主人随客共沉酣|无限风光入笑谈|独喜小童能解事|一声新调出江南
绿窗愁寂雨凄凄|春老江南花乱飞|莺亦自知人意思|垂杨深院尽情啼
武皇未识长卿才|多向吴王故国来|谁见江南佳赏处|月中词客雪中梅
当垆一曲竹枝歌|肠断江南奈尔何|游子未归春又老|夜来风雨落花多
野水参差落涨痕|疏林攲倒出霜根|扁舟一棹归何处|家在江南黄叶村
三叠秋心万里流|萧萧黄叶满汀洲|箨冠芒𪨗诗翁瘦|并作江南一片秋
数峰相倚玉成簪|楼阁深沈酒尚酣|十日春寒帘不卷|杏花飞雨满江南
剌剌北风吹倒人|乾坤无处不沙尘|胡儿冻死长城下|谁信江南别有春
元统才人总寂寥|奎章遗墨尚风标|钧天梦落江南远|肠断云中紫玉箫
灵槎明日渡江南|天上风情想尽谙|记得霓裳三两调|等闲休便向人谈
曾向燕云画里夸|孤山流水断桥斜|祗今残雪疏篱外|始见江南第一花
野花藤蔓乱毵毵|送别旗亭酒半酣|十丈画船如画阁|载将春色到江南
释迦八万四千塔|一在江南古道场|无碍展开青髻发|最初分得白毫光
森严风味变腴甘|未必能袪睡思酣|姑为先生宽水厄|却容归梦到江南
一树残花媚晓晖|淡香偏袭旅人衣|春风落尽东阑雪|三载江南未得归
夜色朝光两莫知|树间但见白差差|江南到处名姝少|一律前村雪里词
东风吹落战尘沙|梦想西湖处士家|只恐江南春意减|此心元不为梅花
桃脸韶容柳絮身|江南西洛岂由人|可怜杜牧空伤感|尚在朋游已丧真
万里江南雨外船|长腰粳米缩头鳊|广文繫马无由去|更有何人赠酒钱
凉州遮莫小江南|桑葚虽鲜也未堪|解道谢公怀远略|已夸风味胜黄甘
曾作金陵烂漫游|北归尘土变衣裘|芰荷声里孤舟雨|卧入江南第一州
平潮恰恰乱蛙鸣|断送江南春雨晴|绿縠细看桑眼破|紫茸还见草心生
数株烟柳绿毵毵|两岸青山起暮岚|多少天涯未归客|却从画里看江南
夜榜巴羊听水声|江南幽梦到吴屏|贺家湖上黄梅雨|四面荷香入画舲
小桃闲上小莲船|半采红莲半白莲|不似江南恶风浪|芙蓉池在卧床前
去年胡马渡淮流|江北江南处处愁|破虏只今犹遣将|富民何日定封侯
百万瑶妃传粉酥|诗翁列屋世间无|江南穷相韩熙载|有甚歌姬画作图
归舟归骑俨成行|江南江北互相望|谁谓波澜才一水|已觉山川是两乡
一朝卧病药相扶|才倚晴窗阅地图|莫说江南风景好|王孙头白怨蘼芜
金沟水溢白云池|万朵莲花映绿漪|一曲江南茜裙女|轻舟来唱采菱词
故乡寒食荼蘼发|百和香浓村巷深|漂泊江南春欲尽|山橙仿佛慰人心
风沙来往稻粱谋|江北江南一岁遒|非为红楼断消息|待梅暗候自清愁
三春不见一花开|独有城头散落梅|却忆江南晴日好|屐声齐上凤凰台
江南菊少开金色|只有霜葩杂御黄|乞得黄花真爱惜|明年剩种压群芳
声华奕世擅江南|谁似公家伯仲间|想见当年育英物|高秋爽气满西山
燕市悲歌酒易消|双声流响入云霄|送君更唱江南曲|草绿吴洲第几桥
内翰何年写画图|眼中惊见凤毛孤|一枝润带江南雨|遂使眉山草木枯
东风两鬓雪毵毵|一枕兰舟酒半酣|不似邵庵虞学士|杏花春雨忆江南
吴姬把酒唱离歌|一片愁心奈别何|莫怪相看频下泪|江南春色已无多
烟中修竹列千竿|空里疏花未可扳|唤醒罗浮山下梦|江南还有广南山
遍识青霄路上人|相逢秖是语逡巡|可胜饮尽江南酒|岁月犹残李白身
一回飞锡下江南|咫尺无由接笑谈|却羡婆须蜜氏女|发心犹愿见瞿昙
三闾苗裔有诗篇|哀怨千秋莫与传|行尽江南与江北|知音人在竹林边
汲水堤边杨柳花|东风吹散五侯家|江南一去繁华远|梦觉青山自煮茶
登朝初遇汉恩宽|正色危言百代看|谁料承明终不返|江南天自远长安
一春无况懒游山|风景依然三月三|十里杨花深似雪|马蹄无路入江南
过尽梅花把酒稀|熏笼香冷换春衣|秦关汉苑无消息|又在江南送雁归
二镇屯兵百万馀|花当消息近何如|征鸿日暮江南去|多少闺人望寄书
江南梅事已吹残|想见岭南青作团|邂逅诗成肯相寄|憧憧驿使入长安
京口瓜洲一水间|钟山只隔数重山|春风又绿江南岸|明月何时照我还
数口妻儿网一张|船为家舍水为乡|江南江北山如画|欸乃声中送夕阳
身落江南不自悲|正欣梅也可供诗|纷纷桃李胡为者|政似当年蔡克儿
袅袅腰肢翠拂眉|河东柳家娇女儿|江南烟雨楼百尺|楼上何人题好诗
青青山色水溶溶|月照潭心起卧龙|万里关山看欲尽|江南江北半仙踪
漠漠新茸上渚蒲|日痕波态共涵虚|无人解作江南曲|荷底田田自戏鱼
丈室空濛水石间|当轩客去鸟飞还|独看画壁云千片|正是江南雨后山
临溪桥畔柳毵毵|桥下溪流碧似蓝|烟雨画图行七日|不知春梦绕江南
欲向江南采白苹|杜鹃啼后已无春|洞庭龙女云中降|手把双珠笑赠人
江南草色别来久|梦绕梅花思不禁|何似拂衣归去好|小斋明月夜横琴
世间乡族最为亲|强半逡巡是古人|纵使江南官况好|也应回首一伤神
三千客路寄征骖|旅况凄然总未谙|唯有柳枝曾见惯|阿那又不似江南
汀苇苍苍白露凝|一滩寒月未收罾|西风吹醒江南梦|四壁蛩声半夜灯
春尽江南归已迟|湘南风雨度花时|无因剪取湘江色|携看江屏画竹枝
暮霞天角正红酣|渺渺飞鸣雁两三|万里中原消息断|赖能带得过江南
早春游望过欧潭|青竹红桃水似蓝|钓艇画船山色里|令人只是恋江南
君到江南梅正开|折梅称寿亦佳哉|平安傥遇重湖便|为把新诗写寄来
行尽江南最远山|却寻干越上清滩|秋晴云锦溪中过|玉石瑰奇一万般
江南秋色正疏疏|江岸人家尽是渔|中有故人渔一户|雁来不寄半鱼书
雪里梅花共月明|梅边杖屦一般清|江南此景人寂寞|抚卷悠然幽兴生
棱棱桑田带水田|夕阳幽兴满樊川|秪疑身在江南处|放我溪头罨画船
淮海风回吹血腥|青原不改旧时青|中朝将帅论功赏|不及江南一白丁
同泛楼船上玉京|独骑归马向濠城|日斜烟淡山如写|江北江南一段情
玉津亭树雪层层|故比人间分外清|恰似江南春到处|梅花一片拆园英
一劄重烦怪石供|开窗已觉翠浮空|数峰尚带江南雨|彷佛金焦入眼中
襄阳耆旧今谁记|祇有庞公在鹿门|白发江南两兄弟|瑞峰山翠锁深村
江南泽国水风秋|彭蠡西来是上游|百尺楼船箫鼓发|和云冲过百花洲
二年孤负观花眼|少见江南第一枝|细读坡公当日句|恍如玉立耿疏篱
漫将杯酒佐馀酣|旅次新愁未惯谙|极目遥空秋一色|月明偏自炤江南
久客萧然万虑轻|殊方遥指使星明|山头杜宇声何急|翻动江南行乐情
卧榻而今又属谁|江南回首见旌旗|路人遥指降王道|好似周家七岁儿
江南千里绿田田|荡漾临风碎复圆|为报汉皋神女道|骊龙尚未月中眠
虎头牌子织金裳|北面三年蚁梦长|借问一门朱与紫|江南几世谢君王
十月江南正苦寒|花开如雪雪成团|如今老尽咸平树|只写前身画里看
竹溪梅坞静无尘|二月江南烟雨春|伤心此日河平路|千里荆榛不见人
见山堂上山如画|二十年前曾客来|风絮满城归不得|江南老却贺方回
玉露金茎未易攀|西风斜日送君还|潞河杨柳今摇落|愁杀江南庾子山
江南费尽春风力|岭头驿使无消息|有人赠我一枝花|满面春风与春色
飞墨来从海岳庵|春风吹雨满江南|青山肯被云遮尽|时耸尖奇一两簪
依依杨柳暂停骖|别酒何时尽日酣|此后相思成远梦|定随明月到江南
江北江南入夏来|云蒸日煦欲黄梅|邸居兀坐关山隔|空想微酸到齿隈
青楼醽醁客中圣|碧苑鞦韆人半仙|春满江南佳丽地|绿杨芳草思娟娟
煖日初抽宿麦芽|东风吹草绿平沙|江南开老春多少|二月东昌见杏花
江南贾客去忘归|扑面边尘自在飞|想得那边寒较早|夜来密地剪征衣
三峰好结一花龛|濯足时临玉女潭|莫驾琴高鲤鱼去|车箱一穴出江南
春风一夜别衡阳|楚水燕山万里长|莫怪春来便归去|江南虽好是他乡
绿树菲菲紫白香|犹堪缠黍吊沉湘|江南四月无风讯|青草前头蝶思狂
抚州竹扇制来新|邓子持归赠野人|六月江南如此热|海风一起静黄尘
银蜡风多护锦屏|飞觥不逐舞腰停|当筵莫唱江南曲|白发周郎已倦听
家住江南青竹林|别来无日不关心|偶然写向齐纨上|便欲移床坐绿阴
落落江南旧布衣|水边林下静相宜|白头更有浮荣系|自咏武公淇澳诗
重阴浩瀚渺无滨|草木摧残见本真|谁识江南一枝信|明年春事正催人
江南花草易芳菲|今我还家已似迟|最恨春风苦无思|卷藏红绮不容披
流云行水出名姝|酒尽花前双玉壶|此曲江南都忘却|春风转调小单于
小人拙直颇近真|放论动取儿曹嗔|何似饮醇浇舌本|醉来卧唱江南春
许下长途片雪残|貂裘狐帽过春寒|题诗夸向江南客|嬴得琼瑶马上看
春鸟催归处处闻|乡心画出翠氤氲|江南山色无多少|总向邗沟作白云
绿云影覆白云英|馥郁秋风不易陈|休遣江南夸艳曲|朝朝琼树眼中新
偶向妙峰亭上望|一襟寒色近春分|晴风吹放天全露|吹尽江南江北云
瑶池三月正春酣|浅绿深红雨露含|莫唱鹧鸪新乐府|座中有客是江南
駮駮山苍杂水红|不如冷眼看秋风|北鸿已望江南起|飞过榆林月正中
故人赠我江南句|飞尽梅花我未归|欲寄相思无别语|一枝寒玉澹春晖
潦倒云门泛铁船|江南江北竞头看|可怜无限垂钩者|随例茫茫失钓竿
䴔䴖㶉𫛶绕船飞|翠筱青杉照晚晖|无限好怀消不尽|江南风景梦中归
五风十雨亦为褒|薄夜焚香沾御袍|当知雨亦愁抽税|笑语江南申渐高
诗酒江南剑外身|眼惊幻墨逼天真|是谁不道君无对|世上元来更有人
紫箫吹断玉梅魂|梦入江南几处村|半夜落英飞不定|旋添清绝到柴门
解缆移舟浙水滨|晚潮初落岸痕新|酒酣卧唱江南曲|月在篷窗冷照人
花事阑珊绿覆除|累累带雨更愁余|涛笺藉染胭脂色|聊寄江南一纸书
弱质何堪马上尘|失身谁复更怜身|伤心不作还家梦|孤负江南一夜春
江南风雨馀几信|有底淮南春事迟|凭君料理玉妃面|快作酒红生晕时
谁把人间比梦间|本来梦觉两闲闲|清风一枕北窗下|游遍江南多少山
等君日日在高台|吹尽杨花君不来|归兴自浓身尚客|江南老却贺方回
水边小树寻常见|不似横枝花更繁|乱后江南谁寄与|只将图画赏清樽
单骑堂堂诣虏营|古今祸福了如陈|北方相顾称男子|似谓江南尚有人
歌舞销沉一夜风|繁华自古送英雄|可怜七曲江南弄|都入胡笳惨淡中
王母宴归西海上|空留青鸟羽参差|黄云苦竹江南霰|独立寒条岁晚时
汴水东边杨柳花|春风散入五侯家|繁华一去江南远|闲汲山泉自煮茶
江南列郡尽乘城|藏穴何人肯出兵|惟有使君躬擐甲|刘家港口看潮生
门外数株韦偃树|屋头一带巨然山|江南旧日经行处|多有人家似此间
越王宫里如花人|越水溪头采白苹|白苹未尽人先尽|谁见江南春复春
翛然文室卧楞伽|一枕江南兴未涯|三十六陂春水色|画船箫鼓载吴娃
谁人更识贾长沙|老作江南百姓家|但使瓶中有春酒|不劳恸哭与长嗟
江南大半旧经过|君称心多我恨多|好景阻陪游赏去|空萦老病动悲歌
仙重三千不可图|从教千古强名模|长因塞北烟尘息|记得江南啼鹧鸪
压囊红溜滴真珠|配食江南赤鲤鱼|今日钱塘江上客|自怜吾亦爱吾庐
石子冈前霞满天|千枝杏花更可怜|江南觅得同游侣|不是诗禅即酒禅
玉妃步月影毵毵|燕罢瑶池酒正酣|半夜不知香露冷|春风吹梦过江南
春尽山桃花满枝|怨春休道北来迟|人人正醉春时节|政是江南肠断时
萱草花开日又西|太湖石畔鹧鸪啼|竹枝不是江南曲|唱得樽前思欲迷
雁落平沙字字愁|打包不肯与山留|一篷烟雨载秋去|诗在江南芦荻洲
香作飞尘玉作烟|轻寒微月养愁天|梅花本是江南弄|一叠关山倍可怜
荆扬春冬异风土|江北江南春冬花|跨马出郊时极目|应须美酒送生涯
满林红雪影毵毵|夜静和春浸碧潭|却忆骑驴二三月|杏花小雨看江南
御史新来水石工|数峰依约米南宫|试添茅屋秋林下|著我江南鹤发翁
暮春春始遍长安|杨柳青青拂水端|若似江南春太早|而今那得嫩条看
忆在江南梅照眼|几年繁蕊失溪云|如何枯树寻常见|一雪垂花朵朵分
故园雪树想彫零|却向毫端见典型|梦破江南愁绝处|前村烟迥雨冥冥
咫尺云山便出尘|我生长日自因循|凭君画取江南胜|留向东斋伴老身
江北江南水一涯|迷楼结绮两堪悲|雷塘草绿人安在|曾见黄奴坐井时
春莫初逢三月三|多情风两遍江南|愁中花事关心事|带雨移花上小篮
二陵寒食雨连天|禾黍荒凉复几年|愁绝江南空骋望|君臣犹隔九疑烟
卜居拟向水晶宫|深筑茅斋万竹中|三月江南莼菜美|季鹰何苦待秋风
云容覆枕无非白|水色侵矶直是蓝|田种紫芝餐可寿|春来何事恋江南
一棹江南本旧期|宦途多事独栖迟|东风几度停舟意|惟有春潮日夜知
行春使者惜春华|处处春风杨柳花|不向江南望江北|却将恩怨属琵琶
逆旅相留慰苦辛|萧萧同侣二三人|笛中谁谱梅花引|已送江南十日春
江北江南从此辞|江波潋滟似来时|春风送客无南北|带得莺声过水涯
采采江南茉莉花|移根多在列侯家|清时幕府浑无事|羽扇纶巾自煮茶
半壁烟霞几树苍|松门寒掩曲溪长|客来想象江南景|一片湖山带夕阳
年来两鬓雪萧萧|懒把黄金带系腰|拟向江南寻旧隐|白云庄上狎渔樵
问君此去欲何之|江北江南各一涯|南北即从今日别|销魂不在渡江时
家住江南古帝城|江风长夏绕门生|不知头白缘何事|两月官舟触夜行
雨洗清江十里秋|渡头水落放轻舟|客窗一枕江南梦|都在兰汀杜若洲
春风绿尽江南草|夜雨红销树底花|独立斜阳多少恨|长空捲散暮天霞
江南秋色雁来归|林壑风烟草树微|公退展图频北望|太行山上白云飞
行到颓墙与断桥|试和明月拗枝头|江南多少闲儿女|带着梅花便带愁
江南春早落花迟|踏尽飞花人不知|自有酒香停去马|不须野店插青旗
铜台翠瓦散春烟|歌舞人空曲尚传|不意秋风寥落后|江南更识李龟年
牵牛引蔓上棠梨|上有幽禽夜夜栖|自有秋风动疏竹|江南落月不须啼
草庐藏得卧龙才|许我英雄亦异哉|刚道同心金可断|江南便是海南垓
匹马行行西复东|一鞭腾破雪千重|寒梅初放一枝白|间破江南无数红
深春亭馆客来稀|坐看幽花著雨飞|十二碧阑莺语细|江南梦好未思归
不见桥东黄布帘|树犹如此我何堪|袅袅亭亭忒无赖|又将春色误江南
日永湖山桧影斜|微风时堕紫藤花|道人无限江南意|更写筼筜向客夸
碧池妆镜晓寒消|不染铅华意自娇|恼杀江南赵公子|却将金粉浣生绡
一盏扶头又半酣|久无归梦到江南|桃花欲发杏花谢|细雨斜风三月三
玉堂妙笔交游尽|投老江南隔死生|最忆崖州相忆处|华星孤月海波清
东风荡漾百花潭|翠袖迎风酒半酣|好鸟隔窗催晓色|美人残梦隔江南
窗外平畴交远风|豆花成实谷苗丰|向来河朔经行地|尽在江南烟雨中
江北江南纸鹞齐|线长线短迥高低|春风自古无凭据|一任骑牛弄笛儿
江北江南一道兵|匆匆据石各论情|功成与尔游沧海|此语当初是至诚
三月江南花满枝|风轻帘幕燕争飞|游人休惜夜秉烛|杨柳阴浓春欲归
无定河边觱栗鸣|夜深灯火赫连城|八千里外江南客|边塞悠悠度月明
北地风高卷塞云|惊沙吹起雁成群|客边偶写龙孙谱|忘却江南有此君
专诸古巷起秋尘|行尽江南不见人|此地空传有游侠|惟君意气不知贫
江南塞北遍曾游|一饭何方不可留|快箸旧尝便蛮耳|垂涎安得饫𫗴头
辰溪燕子点波飞|恰似江南带雨归|对入画梁相并语|满庭红艳发蔷薇
新诗字字巧春蚕|堕马妆成白玉簪|我住三洲流水曲|几回子夜梦江南
摇落枯葭战晚秋|浴凫飞鹭两悠悠|只疑身在江南地|泖上飘然一叶舟
孤市人稀冷欲冰|昏昏一盏店家灯|开门拂榻便酣寝|我是江南行脚僧
大殿连云接爽溪|钟声还与鼓声齐|长安若问江南事|说道风光在水西
戏墨王孙似子瞻|鸡栖石上着毵毵|汴京回首西风急|流落江南共海南
江南四月苦风波|细雨天寒柰若何|梅子之黄如弹子|菘窠其白柰花窠
梅豆班班已满枝|暗香犹未吐酴醾|和风煖日江南路|正是山矾烂漫时
闲驻春旟玩碧浔|波光杳杳树阴阴|便将塞下风沙意|回作江南烟水心
四朝十帝尽风流|建业长安两醉游|惟有一篇杨柳曲|江南江北为君愁
误人吹裂柯亭笛|岂有残英落绮席|始信寿阳人写真|不知江南近消息
油窗漠漠雨垂垂|秋尽江南草木知|促织到头无一语|不知能有几多丝
北望中原泪满巾|黄旗空想渡河津|丈夫穷死由来事|要是江南有此人
秧马泥深茧犊闲|烛龙顾影桔槔间|寻常六月江南雨|不比君王帑藏悭
燕山丈人年九十|戏笔扫此双犁牛|江南夜半春雨作|老农惊起为君愁
稻塍流水是江南|阴壑悬崖午送岚|欲上瑶光楼上望|青松白石系征骖
风雪开门夜甚寒|此来非但一尊欢|江南果是他家物|岂可容人卧侧鼾
江南伊轧水车鸣|一夜东风绿尽生|可是采桑人罢绣|抛针到处踏莎行
朱雀门前花草空|明驼尽载景阳宫|六朝春色龙沙去|一片江南雁塞同
王门无事足幽探|为赋新图句不堪|莫听雁声思故里|筒中盘谷似江南
岁恶无邻堪乞籴|时艰何地可移民|秋来一夜江南雨|不责空囷活饿人
感君风谊我何堪|问遗时时过草庵|今岁未知霜蟹美|一餐还似到江南
梦想江南今日到|肩舆过处落花风|行人五月金陵道|石竹花开白雨中
回首江南事巳非|故家庭院锁重围|柳塘西馆斜阳里|只有当时燕子飞
沙行水宿几江南|石斗龙求久已谙|秋水故应旋面目|顺流东望为君惭
塞边羝牧长儿孙|水草全枯乳酪存|不识江南有阡陌|一犁烟雨自黄昏
江南江北两风流|一作迷津一拜侯|至竟不如隋炀帝|破家犹得到扬州
双柳垂眉别样梳|醉来马上倩人扶|江南有眼何曾见|争捲珠帘看固姑
漠漠春从天际来|春旗已在望春台|寒销岭上容梅落|暖拂江南放雁回
江南乔木巳无多|谁画参天铁石柯|记得玉堂春昼永|寒林坐对老东坡
江北江南几驿亭|可怜彊半草青青|夜凉月白西湖水|坐看三台上将星
五更寒袭紫毛衫|睡起东窗酒尚酣|门外日高晴不得|满城湿露似江南
藕花飘紫水拖蓝|秋夜河灯净业庵|此景却疑身是梦|与卿携手在江南
春近衡峰雁又回|老怀休忆故山梅|花期自是江南早|早晚湘南也解开
御堤新柳碧毵毵|袅雾垂烟总不堪|借问道傍车马客|几多离思在江南
云满秋江月满台|江南风景梦中开|喜心倒极翻悲壮|一纸家书万里来
为爱风篁手自摹|不烦把烛倩官奴|须当白战筼筜谷|羞杀江南没骨图
笔端造化出天巧|写出江南雪压枝|谁道春归无觅处|横斜全似越溪时
春风修禊忆江南|酒榼茶垆共一担|寻向人家好花处|不通名姓即停骖
江南微雨杏花春|一个渔舟载病身|莫信归来示无用|钓竿斜日弄丝纶
欲泻琼浆洗我忧|玉壶分送不知休|醉来一觉还乡梦|看尽江南二十州
便驱匹马出烟岚|圣主恩深若海涵|却到玑衡高处望|白云无数满江南
踏尽东西散胜岩|却提只履过江南|远人若解真常位|不碍携庵到处参
行尽江南万里山|落霞晴映晚枫丹|何人倚剑留孤调|夜半清光贯斗寒
独乐园深引趣长|江南有地亦宜桑|素衣不怕淄尘染|京洛相忘即故乡
衔得芹泥入画帘|江南门巷柳花天|分明社燕催春老|错向东风恨杜鹃
尔自贪痴不肯闲|江南多少好青山|老夫为不爱官职|买得狂名满世间
